je	ye
nerado	nErEdo
nestane	nEstEnE
nesumnjivo	nEsum5ivo
nišanu	niSEnu
novinare	novinorE
novinskih	novinskih
novčanu	nofCEnu
nošenje	noSE5e
nulu	nulu
obratiti	obrEtiti
odanost	odEnost
odgoj	odgoy
odjelu	odyelu
odlaganje	odlEgE5e
odnosila	odnosilE
održe	odrZE
odustaje	odustoye
odvedeni	odvEdEni
odvode	odvodE
ogledalu	oglEdElu
ograde	ogrEdE
ograničenim	ogrEniCEnim
ograničiti	ogrEniCiti
ojačati	oyECEti
okreću	okrECu
okrugli	okrugli
oksidacijsko	oksidEciysko
okupili	okupili
opasna	opEsnE
operator	opErEtor
opoziciju	opoziciyu
opsadom	opsEdom
općem	opCEm
općinskih	opCinskih
orao	orEo
organizirane	orgEnizirEnE
orhideja	orhideyE
originalna	originElnE
orijentalnu	oriyentElnu
oružanim	oruZEnim
osjetio	osyetio
osvojilo	osvoyilo
otežano	otEZEno
otopine	otopinE
otpjevao	otpyevEo
otpustio	otpustio
ovulacije	ovulEciye
označi	oznECi
ožiljak	oZiLEk
parametara	porEmEtorE
pasti	pasti
pašnjacima	paS5EcimE
perja	pEryE
petlji	pEtLi
pješadijska	pyeSEdiyskE
pješadijske	pyeSEdiyskE
planinsko	planinsko
pleše	plESE
pliva	plivE
plivaju	plivoyu
poboljšana	poboLSEnE
podignute	podignutE
podignuti	podignuti
podrškom	podrSkom
pogoditi	pogoditi
pogoršava	pogorSEvE
polaganja	polEgE5E
polumjeseca	polumyesEcE
porodičnoj	porodiCnoy
porodičnom	porodiCnom
posebice	posEbicE
poslat	poslEt
posmrtni	posmrtni
postolju	postoLu
posudi	posudi
poteškoćama	potESkoCEmE
poticaj	poticoy
potpunim	potpunim
potražiti	potrEZiti
potrošača	potroSECE
povlačenju	povlECE5u
površinskim	povrSinskim
pozvala	pozvElE
pošlo	poSlo
poštanska	poStEnskE
pratećim	pratECim
pravnik	pravnik
pravnim	pravnim
pravoj	pravoy
praćena	praCEnE
prebacio	prEbEcio
prekursora	prEkursorE
prerasta	prErEstE
pretpostavkom	prEtpostEfkom
preuzeta	prEuzEtE
pridjev	pridyev
prihvaćeni	prihvECEni
prijavila	priyEvilE
prikladno	priklEdno
princezom	princEzom
prinos	prinos
pripadajućim	pripEdoyuCim
prirodan	prirodEn
pristupi	pristupi
procvat	procvEt
prodali	prodEli
prodanih	prodEnih
prodiru	prodiru
produžena	produZEnE
projektil	proyektil
prolazio	prolEzio
promoviraju	promoviroyu
proporcija	proporciyE
propustio	propustio
prost	prost
prostirala	prostirElE
prostoriju	prostoriyu
protestanti	protEstEnti
protive	protivE
protjeran	protyerEn
prstenovi	prstEnovi
pse	psE
pucati	pucEti
raspolaganje	raspolEgE5e
rasprostranjen	rasprostrE5en
ratišta	ratiStE
ravnih	ravnih
razbolio	razbolio
razmnožavanje	razmnoZEvE5e
raznovrsne	raznovrsnE
razvitka	razvitkE
računati	raCunEti
raširena	raSirEnE
reagens	rEEgEns
realne	rEElnE
realnost	rEElnost
reducira	rEducirE
referentni	rEfErEntni
regionalno	rEgionElno
reklama	rEklEmE
reprodukciju	rEprodukciyu
rezultirali	rEzultirEli
režira	rEZirE
rimokatoličke	rimokEtoliCkE
rob	rob
rođenih	rojEnih
rudama	rudEmE
ruralnih	rurElnih
sahrani	sahrEni
samoglasnika	samoglEsnikE
sastao	sastEo
savjetnici	savyetnici
sačuvali	saCuvEli
sekrecije	sEkrEciye
seksualnih	sEksuElnih
seoske	sEoskE
sferu	sfEru
signalne	signElnE
sintetiziraju	sintEtiziroyu
sintetizirati	sintEtizirEti
sjeverozapadnoj	syevErozEpEdnoy
sjećanju	syeCE5u
sklapa	sklapE
sklop	sklop
sklopiti	sklopiti
skupe	skupE
slavenskih	slavEnskih
slikanja	slikE5E
složenog	sloZEnog
složenost	sloZEnost
slučajne	sluCoynE
smatrane	smatrEnE
smještaju	smyeStoyu
snimljeno	snimLeno
snukeru	snukEru
sovjetskom	sovyetskom
spašavanja	spaSEvE5E
spolnog	spolnog
spomenike	spomEnikE
spomenuo	spomEnuo
sponzora	sponzorE
spremno	sprEmno
sreo	srEo
srušiti	sruSiti
startu	stortu
stati	stati
steka	stEkE
stepenicama	stEpEnicEmE
stidne	stidnE
studijska	studiyskE
stvarnih	stvornih
sudsku	sutsku
suho	suho
sultanata	sultEnEtE
susreti	susrEti
svetim	svEtim
sviranje	svirE5e
svojstvu	svoystvu
svrsi	svrsi
tablica	tablicE
takozvana	takozvEnE
tanak	tanEk
tekućinu	tEkuCinu
tematikom	tEmEtikom
teniski	tEniski
teorema	tEorEmE
tjemena	tyemEnE
tradicionalnu	tradicionElnu
trajale	troyElE
trans	trans
transkripta	transkriptE
trombocita	trombocitE
tropskih	tropskih
tumačenju	tumECE5u
turskoj	turskoy
ubivši	ubifSi
ugradnju	ugrEd5u
ugrožen	ugroZEn
uistinu	uistinu
ujedinjena	uyedi5enE
ukrštanja	ukrStE5E
ulazom	ulEzom
ultimatum	ultimEtum
umjetničkom	umyetniCkom
uobičajenog	uobiCoyenog
upisalo	upisElo
upozna	upoznE
upravljala	uprEvlyElE
uskog	uskog
usmjereno	usmyerEno
usporedbu	usporEdbu
utvrdila	utvrdilE
utvrđenih	utvrjEnih
uvrstio	uvrstio
uzbuđenja	uzbujE5E
uznemiren	uznEmirEn
uzorke	uzorkE
ušiju	uSiyu
ušlo	uSlo
vegetacija	vEgEtEciyE
vidom	vidom
vili	vili
violine	violinE
vjernik	vyernik
vjernost	vyernost
voljeli	voLeli
vozači	vozECi
vozom	vozom
vruće	vruCE
vršen	vrSEn
z	z3
zahtijevali	zahtiyevEli
zanat	zanEt
zanima	zanimE
zapreminu	zaprEminu
zarobljenici	zorobLenici
zaslužuje	zasluZuye
zaustavljena	zaustEvlyenE
zauzmu	zauzmu
zdravstvenog	zdrafstvEnog
zidinama	zidinEmE
zrele	zrElE
zrelosti	zrElosti
zvukova	zvukovE
µm	mikrom3
čekić	CEkiC
česticama	CEsticEmE
đubriva	jubrivE
Štab	Stab
šejh	Seyh
Željko	ZELko
Životinje	Zivoti5e
žučnih	ZuCnih
Alternativni	altErnEtivni
Alžiru	alZiru
Andersson	andErsson
Austrijski	austriyski
Bagdad	bagdEd
Bagdada	bagdEdE
Bernard	bErnord
Billa	billE
Bobby	bobbi
Bošnjak	boS5Ek
Briana	briEnE
Brojevi	broyevi
Bugarsku	bugorsku
Christopher	christophEr
Clarka	clorkE
Creative	crEEtivE
Crkvu	crkvu
Cruz	cruz
Crvenog	crvEnog
Crystal	crystal
Cupa	cupE
Damaska	damEskE
Dioklecijan	dioklEciyEn
Division	division
Djelovanje	dyelovE5e
Dobila	dobilE
Dolazak	dolEzEk
Domaćin	domECin
Dunavu	dunEvu
Egiptom	Egiptom
FIBA	fibE
Fond	fond
Fondacije	fondEciye
Gavrila	gavrilE
Generalštaba	gEnErElStEbE
Gilbert	gilbErt
Glass	glass
Go	go
Great	grEEt
Guardian	guordiEn
HD	x3d3
Hamburgu	xamburgu
Hendry	xEndry
Houseu	xosEu
Iduće	iduCE
Igrama	igrEmE
Intera	intErE
Irsku	irsku
Jake	yakE
Jazz	yazz
Josef	yosEf
Kanton	kanton
Kelti	kElti
Krajnji	kroy5i
Kraljevske	kraLefskE
Kruna	krunE
Krv	krv
Kulina	kulinE
Lenjin	lE5in
Litvanija	litvEniyE
Livije	liviye
Livno	livno
Livnu	livnu
Ljudski	Lutski
Maca	macE
Malta	maltE
Marijin	moriyin
Master	mastEr
Metoda	mEtodE
Mira	mirE
Molekule	molEkulE
Motivi	motivi
Naredni	norEdni
Njegovim	5egovim
Novija	noviyE
Novim	novim
Olivera	olivErE
Orden	ordEn
Osvojila	osvoyilE
Ovog	ovog
PTH	p3t3x3
Pakistana	pakistEnE
Ploče	ploCE
Pokopan	pokopEn
Političke	politiCkE
Postupak	postupEk
Povelja	povELE
Poznate	poznEtE
Prijatelji	priyEtELi
Promjer	promyer
Psyduck	psiduck
Puno	puno
Rekonstrukcija	rEkonstrukciyE
Rogera	rogErE
Rona	ronE
Rossi	rossi
SKJ	s3k3y3
Sanski	sanski
Sarajevske	soroyefskE
Saveznici	savEznici
Seriju	sEriyu
Singl	siNgl
Sjever	syevEr
Slijede	sliyedE
Sophie	sophiE
Spada	spadE
Splita	splitE
Srbijom	srbiyom
Srednju	srEd5u
Standardni	standordni
Start	start
Suda	sudE
Takmičenja	takmiCE5E
Tarantino	torEntino
Ted	tEd
Television	tElEvision
Temelji	tEmELi
Timovi	timovi
Tomaš	tomES
Torontu	torontu
Tretman	trEtmEn
Turcima	turcimE
USS	us3s3
Ubuntu	ubuntu
Ugarsku	ugorsku
Ulica	ulicE
Unija	uniyE
Upravni	uprEvni
Upravnog	uprEvnog
Usore	usorE
Uspio	uspio
Utrka	utrkE
Većinom	vECinom
Viktorije	viktoriye
Villa	villE
Vojvodini	voyvodini
Willard	villord
Yugi	yugi
Zajednička	zoyedniCkE
Zero	zEro
Značaj	znaCoy
administraciji	administrEciyi
albumima	albumimE
alpskom	alpskom
ambasadora	ambEsEdorE
atomu	atomu
autobus	autobus
bazilici	bazilici
biskupije	biskupiye
bizantijska	bizEntiyskE
blagajnama	blagoynEmE
bliska	bliskE
bliskih	bliskih
blokade	blokEdE
bodlji	bodLi
bogatoj	bogEtoy
borcima	borcimE
borile	borilE
branila	branilE
brojao	broyEo
bronze	bronzE
bubnjeve	bub5evE
bunara	bunorE
centralnih	cEntrElnih
crnogorske	crnogorskE
cvjetanje	cvyetE5e
datu	datu
debate	dEbEtE
definišu	dEfiniSu
dekoracija	dEkorEciyE
demokratsku	dEmokrEtsku
diferencijaciju	difErEnciyEciyu
difuzije	difuziye
diskusije	diskusiye
djevojčicu	dyevoyCicu
doktrina	doktrinE
domaćoj	domECoy
domom	domom
domovima	domovimE
donoseći	donosECi
dozvoli	dozvoli
dočekao	doCEkEo
drugačijim	drugECiyim
drukčije	drukCiye
državljanin	drZavlyEnin
dublji	dubLi
duet	duEt
efikasniji	EfikEsniyi
ekosistema	EkosistEmE
ekstremne	EkstrEmnE
ekvatora	EkvEtorE
email	EmEil
energiji	EnErgiyi
erozije	Eroziye
federalni	fEdErElni
finalni	finElni
fokusirao	fokusirEo
fondacija	fondEciyE
formalne	formElnE
frekvencijama	frEkvEnciyEmE
garnizona	gornizonE
gej	gey
generalom	gEnErElom
genetičku	gEnEtiCku
gitarist	gitorist
glasalo	glasElo
glasnik	glasnik
glasovima	glasovimE
glatka	glatkE
glavama	glavEmE
glista	glistE
globalni	globElni
godišnjim	godiS5im
gorja	goryE
govornik	govornik
grafičke	grafiCkE
građevinu	grajEvinu
gruba	grubE
grčko	grCko
grčku	grCku
gubitku	gubitku
haosa	xaosE
haplogrupa	xaplogrupE
haplogrupe	xaplogrupE
hifa	xifE
hladi	xladi
hormoni	xormoni
identifikacija	idEntifikEciyE
igračaka	igrECEkE
inženjerstva	inZE5erstvE
iskazivana	iskEzivEnE
iskorištava	iskoriStEvE
isparavanja	isporEvE5E
isporuke	isporukE
istaknutih	istEknutih
istoimenoj	istoimEnoy
istoriji	istoriyi
izlazu	izlEzu
izmijeniti	izmiyeniti
izmijenjen	izmiye5en
izmjeriti	izmyeriti
iznenađen	iznEnEjEn
izvjesne	izvyesnE
izvlačenje	izvlECE5e
jajeta	yoyetE
jačini	yaCini
jedinom	yedinom
jednačinu	yednECinu
jednostavnost	yednostEvnost
jelena	yelEnE
jevrejskog	yevreyskog
jod	yod
jugoistoka	yugoistokE
jugozapadne	yugozEpEdnE
kapa	kapE
kapetanije	kapEtEniye
kapljica	kapLicE
kitova	kitovE
književnu	k5iZEvnu
koaliciju	koEliciyu
komandi	komEndi
komentirao	komEntirEo
komercijalnim	komErciyElnim
komponuje	komponuye
koncepcija	koncEpciyE
koncepti	koncEpti
konformacija	konformEciyE
kontrolisati	kontrolisEti
kontrolne	kontrolnE
kosmičkih	kosmiCkih
košarkaški	koSorkESki
krajnjih	kroy5ih
kraljevskom	kraLefskom
kretala	krEtElE
kriteriji	kritEriyi
kritična	kritiCnE
krugove	krugovE
kršćanskog	krSCanskog
kuhanje	kuhE5e
kvasca	kvascE
laka	lakE
laži	laZi
ledom	lEdom
legitimitet	lEgitimitEt
lemuri	lEmuri
lete	lEtE
limfnog	limfnog
ljetna	LetnE
ljetnih	Letnih
ljubitelja	LubitELE
lociran	locirEn
lomljenog	lomLenog
lovom	lovom
lošu	loSu
mahom	mahom
mana	manE
masovni	masovni
medaljom	mEdELom
medicina	mEdicinE
medicinsko	mEdicinsko
melodije	mElodiye
membranskih	mEmbrEnskih
mine	minE
mirovne	mirovnE
mišićni	miSiCni
mišićnim	miSiCnim
množina	mnoZinE
mobilnih	mobilnih
modeliranje	modElirE5e
moralno	morElno
morima	morimE
munarom	munorom
munje	mu5e
nacionalizam	nacionElizEm
nadali	nadEli
naglašavaju	naglESEvoyu
najjača	noyyECE
najljepše	noyLepSE
namjesnika	namyesnikE
naseljavalo	nasELEvElo
nasljedni	nasLedni
nastajanja	nastoyE5E
nedavna	nEdEvnE
nedostajalo	nEdostoyElo
nestabilna	nEstEbilnE
nezadovoljstva	nEzEdovoLstvE
nivoom	nivoom
nizova	nizovE
normalnoj	normElnoy
noćnog	noCnog
nuklearnom	nuklEornom
obalnim	obElnim
objavljivao	obyEvlyivEo
objedinjuje	obyedi5uye
obodu	obodu
oboren	oborEn
ocjenom	ocyenom
odbori	odbori
odgovorili	odgovorili
odmazde	odmEzdE
odnosilo	odnosilo
održavali	odrZEvEli
odstupanje	otstupE5e
oduprijeti	odupriyeti
odustala	odustElE
odveli	odvEli
oklopni	oklopni
oksidi	oksidi
oltara	oltorE
omladinski	omlEdinski
omogućile	omoguCilE
operativnim	opErEtivnim
operativnom	opErEtivnom
optičkim	optiCkim
organiziranje	orgEnizirE5e
osigurana	osigurEnE
osobno	osobno
ostave	ostEvE
osuđena	osujEnE
osvajači	osvoyECi
osvoje	osvoye
otisak	otisEk
otkupio	otkupio
otoci	otoci
otrovne	otrovnE
otvaranjem	otvorE5em
ovojnica	ovoynicE
ozbiljnu	ozbiLnu
oštrih	oStrih
palca	palcE
panela	panElE
paravojne	porEvoynE
parkovima	porkovimE
patent	patEnt
patio	patio
patuljaka	patuLEkE
pauka	paukE
percepcija	pErcEpciyE
petogodišnji	pEtogodiS5i
pigmenata	pigmEnEtE
pisce	piscE
pjesnici	pyesnici
plato	plato
plašta	plaStE
plažama	plaZEmE
plodna	plodnE
ploha	plohE
pm	p3m3
pobjeđuju	pobyejuyu
poboljšala	poboLSElE
pobunjenici	pobu5enici
podnese	podnEsE
podražaja	podrEZoyE
podržala	podrZElE
podzemni	pojEmni
poen	poEn
pokazatelja	pokEzEtELE
polarne	polornE
policijsku	policiysku
poljoprivredni	poLoprivrEdni
polova	polovE
položaji	poloZoyi
polubrata	polubrEtE
ponovne	ponovnE
poprište	popriStE
portugalske	portugElskE
poručnika	poruCnikE
porušena	poruSEnE
posebnosti	posEbnosti
posjedi	posyedi
posmatraju	posmEtroyu
posmatrač	posmEtrEC
postajali	postoyEli
postanka	postENkE
posudu	posudu
potražnja	potrEZ5E
potražnju	potrEZ5u
potrošnja	potroS5E
pouzdanih	pozdEnih
povremene	povrEmEnE
pozivu	pozivu
poznaju	poznoyu
početaka	poCEtEkE
praha	prahE
praktični	praktiCni
pranja	pra5E
prazni	prazni
predvidio	prEdvidio
preostalo	prEostElo
preporučuju	prEporuCuyu
prepoznat	prEpoznEt
prerada	prErEdE
prestaju	prEstoyu
prestali	prEstEli
pretvaranja	prEtvorE5E
preuzele	prEuzElE
pridobiti	pridobiti
pridržavaju	pridrZEvoyu
prikazu	prikEzu
primjetno	primyetno
prioritet	prioritEt
pripremao	priprEmEo
prisustvovali	prisustvovEli
prisustvuje	prisustvuye
pritiscima	pritiscimE
pričom	priCom
probavni	probEvni
prodajom	prodoyom
profesionalnom	profEsionElnom
profit	profit
progoni	progoni
prosjekom	prosyekom
protesti	protEsti
provođenja	provojE5E
prvobitnih	prvobitnih
pubertet	pubErtEt
publikacija	publikEciyE
radile	radilE
ramenu	ramEnu
rangirani	raNgirEni
ranija	raniyE
ravnici	ravnici
razgradnju	razgrEd5u
razinama	razinEmE
razlikom	razlikom
razmatranja	razmEtrE5E
raznovrsna	raznovrsnE
razum	razum
razvijenih	razviyenih
reaktivnosti	rEEktivnosti
reformama	rEformEmE
rekorde	rEkordE
religijske	rEligiyskE
repu	rEpu
republikanaca	rEpublikEnEcE
rezervne	rEzErvnE
rotor	rotor
rozeta	rozEtE
sagorijevanja	sagoriyevE5E
sagorijevanje	sagoriyevE5e
sakrio	sakrio
sakupljanje	sakupLE5e
samostalan	samostElEn
saobraćajnoj	saobrECoynoy
sastali	sastEli
sastanke	sastENkE
sastavio	sastEvio
savremenoj	savrEmEnoy
segmente	sEgmEntE
seksualnu	sEksuElnu
selektora	sElEktorE
sem	sEm
seoskih	sEoskih
seoskim	sEoskim
shvataju	shvatoyu
shvaća	shvaCE
simbolično	simboliCno
siromašni	siromESni
sivi	sivi
sjajan	syoyEn
sjedio	syedio
skeletnih	skElEtnih
skloni	skloni
slao	slao
slati	slati
slavili	slavili
slavnog	slavnog
sljedbenik	sLedbEnik
sluša	sluSE
služenje	sluZE5e
smanjili	sma5ili
smetnji	smEt5i
smole	smolE
smrtnost	smrtnost
smrtnu	smrtnu
snimana	snimEnE
snimcima	snimcimE
sociologiju	sociologiyu
soka	sokE
sp	s3p3
spiska	spiskE
spojio	spoyio
spomena	spomEnE
spomenikom	spomEnikom
sporedne	sporEdnE
srebrni	srEbrni
središnja	srEdiS5E
stagnacije	stagnEciye
stajali	stoyEli
standardno	standordno
standardom	standordom
stanova	stanovE
stanovanja	stanovE5E
starenja	storE5E
starijoj	storiyoy
starješina	storyeSinE
stavila	stavilE
stavovi	stavovi
stazu	stazu
stiglo	stiglo
stignu	stignu
stražnjoj	straZ5oy
strelice	strElicE
studiranja	studirE5E
stvorene	stvorEnE
stvorile	stvorilE
sudara	sudorE
sudi	sudi
susjedstva	susyetstvE
svakodnevne	svakodnEvnE
svakodnevnih	svakodnEvnih
svakoga	svakogE
svijetli	sviyetli
svinje	svi5e
svoda	svodE
tabla	tablE
tableta	tablEtE
talenta	talEntE
teatar	tEEtor
teze	tEzE
tečnom	tECnom
teža	tEZE
težio	tEZio
trajna	troynE
transporter	transportEr
trbušnog	trbuSnog
trgovačku	trgovECku
trudnoću	trudnoCu
turbetu	turbEtu
tužbu	tuZbu
tvrd	tvrd
tvrdoj	tvrdoy
ubaci	ubEci
ubaciti	ubEciti
ubistvu	ubistvu
udovi	udovi
ugledao	uglEdEo
ugrađena	ugrEjEnE
ukazao	ukEzEo
ukazivati	ukEzivEti
uklapa	uklEpE
uklapaju	uklEpoyu
uključenih	ukLuCEnih
umalo	umElo
umjetničku	umyetniCku
umjetno	umyetno
uniju	uniyu
upravnih	uprEvnih
urađeni	urEjEni
urbano	urbEno
uređivao	urEjivEo
uspješnosti	uspyeSnosti
ustanoviti	ustEnoviti
utjecali	utyecEli
uzgoju	uzgoyu
učinke	uCiNkE
vagine	vaginE
valova	valovE
vezanjem	vEzE5em
veznog	vEznog
vibracije	vibrEciye
vidljivost	vidLivost
virusi	virusi
višestrukih	viSEstrukih
vjerskom	vyerskom
vjetrom	vyetrom
vladinih	vladinih
vlažne	vlaZnE
vodotoka	vodotokE
vokala	vokElE
vrtovi	vrtovi
zaključeno	zakLuCEno
zakonske	zakonskE
zalistak	zalistEk
zaljeva	zaLevE
zamisao	zamisEo
zanata	zanEtE
zanimljive	zanimLivE
zao	zao
zapovijedao	zapoviyedEo
zapovjedništvo	zapovyedniStvo
zasebnim	zasEbnim
zastupao	zastupEo
zatajenja	zatoye5E
zatiče	zatiCE
zatvorenim	zatvorEnim
zaustave	zaustEvE
zavjeru	zavyeru
zdjele	zdyelE
zjenice	zyenicE
zoru	zoru
zvano	zvano
zvijeri	zviyeri
Čaušević	CauSEviC
čarobnjaci	Corob5Eci
čarolije	Coroliye
čekajući	CEkoyuCi
čelične	CEliCnE
činilaca	CinilEcE
čitaju	Citoyu
čvrst	Cvrst
čvrstoću	CvrstoCu
Đokovića	jokoviCE
Đuro	juro
šaka	SakE
šećer	SECEr
šumskog	Sumskog
Ženska	ZEnskE
željezni	ZELezni
žestoke	ZEstokE
živjele	ZivyelE
žutim	Zutim
APG	abg
Aktivno	aktivno
Alabame	alEbEmE
Alen	alEn
Baby	babi
Bar	bor
Bijeljini	biyeLini
Bol	bol
Britanskog	britEnskog
Brothers	brothErs
Buba	bubE
Carigradu	corigrEdu
Cijev	ciyev
Cl	c3l3
DM	d3m3
Dark	dork
Diana	diEnE
Dinama	dinEmE
Dino	dino
Doc	doc
Dokaz	dokEz
Dol	dol
Dragana	dragEnE
Dragon	dragon
Drosophila	drosophilE
Dubrovčana	dubrofCEnE
Džibuti	jibuti
EKG	Ekg
Edie	EdiE
Emir	Emir
Energija	EnErgiyE
Engleskom	ENglEskom
FIS	fis
GHB	g3x3b3
GPa	kpa
Gibson	gipson
Ginny	ginni
Gradac	gradEc
Gray	gray
Grey	grEy
Hamleta	xamlEtE
Hannah	xannEh
Hendryja	xEndryyE
Hera	xErE
Hermes	xErmEs
Houston	xoston
Hrvoje	xrvoye
Human	xumEn
Ilić	iliC
Illinois	illinois
Imane	imEnE
Irving	irviNg
Istočnu	istoCnu
Ive	ivE
Jennifer	yennifEr
Jer	yer
Johnom	yohnom
Jordana	yordEnE
Karolina	korolinE
Kinezi	kinEzi
Klubovi	klubovi
Larry	lorry
Law	lav
Lazar	lazor
Lijekovi	liyekovi
Likovi	likovi
Ljeti	Leti
Logor	logor
Lucije	luciye
MB	m3b3
MCH	m3c3x3
Mandić	mandiC
Marke	morkE
Mate	matE
McClane	m3c3 clanE
Medine	mEdinE
Miamiju	miEmiyu
Mlečani	mlECEni
Mongola	moNgolE
Mountain	montEin
Mozarta	mozortE
Moć	moC
Murtaugh	murtEukh
Muziku	muziku
Napoléon	napoleon
Narodnu	norodnu
Navedeni	navEdEni
Negdje	nEgdye
Nichols	nichols
Novoj	novoy
OI	oi
Obnova	obnovE
Obnovljena	obnovlyenE
Odgovor	odgovor
Odsjek	otsyek
Opera	opErE
Operacije	opErEciye
Originalna	originElnE
Parker	porkEr
Pazar	pazor
Pete	pEtE
Pierce	piErcE
Pisac	pisEc
Pismo	pismo
Plutarh	plutorh
Poljski	poLski
Poljskom	poLskom
Porsche	porschE
Porta	portE
Portugalci	portugElci
Postepeno	postEpEno
Postojale	postoyElE
Premijera	prEmiyerE
Pristup	pristup
Provincija	provinciyE
Pruska	pruskE
Rajne	roynE
Reda	rEdE
Režiser	rEZisEr
Rita	ritE
Saturna	saturnE
Selim	sElim
Sirius	sirius
Slobodna	slobodnE
Slučaj	sluCoy
Sonica	sonicE
Speed	spEEd
Stade	stadE
Staro	storo
Stevea	stEvEE
Svojom	svoyom
Systems	sistEms
Televizija	tElEviziyE
Terezije	tErEziye
Tiberije	tibEriye
Turbe	turbE
Tuzlanskog	tuzlEnskog
Unutrašnje	unutrES5e
Up	up
Utočište	utoCiStE
Učestvovala	uCEstvovElE
Valley	vallEy
Vanjske	va5skE
Vodeći	vodECi
Vodio	vodio
Vrbas	vrbas
Ward	vord
Windowsu	vindofsu
WordPress	vort prEss
Zajednica	zoyednicE
Započeo	zapoCEo
Zeland	zElEnd
Zelena	zElEnE
afere	afErE
agens	agEns
akademskih	akEdEmskih
akademskim	akEdEmskim
algoritam	algoritEm
ambicije	ambiciye
američko	amEriCko
amino	amino
analogni	anElogni
analogno	anElogno
antagonist	antEgonist
antitijelo	antitiyelo
antologija	antologiyE
apsorbiraju	apsorbiroyu
autorska	autorskE
bacanjem	bacE5em
banana	banEnE
banovine	banovinE
baroka	borokE
baru	boru
biskupi	biskupi
biča	biCE
blokadu	blokEdu
borave	borEvE
carine	corinE
cijepanja	ciyepE5E
cio	cio
cjelokupno	cyelokupno
crijepom	criyepom
crijevu	criyevu
cvjetnica	cvyetnicE
daljeg	daLeg
damu	damu
danske	danskE
debitovao	dEbitovEo
degradacije	dEgrEdEciye
delecija	dElEciyE
derivat	dErivEt
desetaka	dEsEtEkE
desetljećima	dEsEtLeCimE
detektiva	dEtEktivE
diferencijacija	difErEnciyEciyE
dijagnosticiran	diyEgnosticirEn
dijagrama	diyEgrEmE
dijelili	diyelili
direktnih	dirEktnih
direktorica	dirEktoricE
dizajner	dizoynEr
djevice	dyevicE
dnevnim	dnEvnim
dobijamo	dobiyEmo
dodijeli	dodiyeli
dolazio	dolEzio
dominirao	dominirEo
domove	domovE
dotok	dotok
dozvoljen	dozvoLen
doživotno	doZivotno
drvenog	drvEnog
dubrovačke	dubrovECkE
dubrovački	dubrovECki
dugme	dugmE
dugoročne	dugoroCnE
dužinama	duZinEmE
dvorskog	dvorskog
eksperimentalnim	EkspErimEntElnim
eksploataciju	EksploEtEciyu
elektronska	ElEktronskE
elektronskom	ElEktronskom
elementom	ElEmEntom
eliminira	EliminirE
emitiraju	Emitiroyu
entitet	EntitEt
falange	falENgE
fascije	fasciye
fenomeni	fEnomEni
filologiju	filologiyu
finalima	finElimE
fondova	fondovE
fragment	fragmEnt
frekvenciji	frEkvEnciyi
from	from
funkcionalnih	fuNkcionElnih
generatora	gEnErEtorE
glasno	glasno
gledanost	glEdEnost
glumce	glumcE
glumom	glumom
gmizavaca	gmizEvEcE
grupacija	grupEciyE
gustine	gustinE
gutanja	gutE5E
hemikalije	xEmikEliye
hijerarhije	xiyerorhiye
hijerarhiji	xiyerorhiyi
historičaru	xistoriCoru
hrabar	xrabor
hranjivim	xra5ivim
hrasta	xrastE
hronika	xronikE
hvataju	xvatoyu
idealni	idEElni
idealno	idEElno
idući	iduCi
igranje	igrE5e
individualnih	individuElnih
industrijskog	industriyskog
inhibicije	inhibiciye
integracija	intEgrEciyE
intenzitetu	intEnzitEtu
intervjua	intErvyuE
ionske	ionskE
ispuni	ispuni
izabrala	izEbrElE
izazova	izEzovE
izazvale	izEzvElE
izbjeglo	izbyeglo
izborio	izborio
izdanci	izdEnci
izdavanjem	izdEvE5em
izduženo	izduZEno
izgube	izgubE
izgubljeni	izgubLeni
izražavanje	izrEZEvE5e
izuzetna	izuzEtnE
izvedenih	izvEdEnih
izvorom	izvorom
javila	yavilE
jačih	yaCih
jedinicom	yedinicom
jednostavniji	yednostEvniyi
jednostavnosti	yednostEvnosti
jezički	yeziCki
kape	kapE
kartona	kortonE
kasnijoj	kasniyoy
katalizator	katElizEtor
katalog	katElog
katoličkog	katoliCkog
kašnjenja	kaS5e5E
kip	kip
klavijature	klaviyEturE
knezu	knEzu
književnik	k5iZEvnik
kolapsa	kolEpsE
kolica	kolicE
kolonijalnih	koloniyElnih
kolonu	kolonu
komadu	komEdu
kombinacijama	kombinEciyEmE
kompjuterski	kompyutErski
komune	komunE
kontakata	kontEkEtE
kontinuitetu	kontinuitEtu
koraci	korEci
kostura	kosturE
kotača	kotECE
krade	kradE
krajnjim	kroy5im
krajolika	kroyolikE
krenule	krEnulE
kristalnu	kristElnu
kriteriju	kritEriyu
kritikovao	kritikovEo
krivicu	krivicu
krivičnog	kriviCnog
kružnim	kruZnim
kupaca	kupEcE
kupi	kupi
kućišta	kuCiStE
kućnih	kuCnih
lakšim	lakSim
lansiran	lansirEn
lažnim	laZnim
ligamenta	ligEmEntE
ligaških	ligESkih
linearna	linEornE
literaturu	litErEturu
ličnom	liCnom
lukovima	lukovimE
magazinu	magEzinu
makedonskih	makEdonskih
marketing	morkEtiNg
matematiku	matEmEtiku
mađarske	majorskE
mašinski	maSinski
mediju	mEdiyu
memorijske	mEmoriyskE
mesto	mEsto
milione	milionE
min	min
mirne	mirnE
